▲ Next.js 16.3.2 (Turbopack)
- Local:         http://127.0.0.1:3000
- Network:       http://127.0.0.1:3000
✓ Ready in 650ms
✓ Running next.config.ts took 46ms

 GET /online 200 in 437ms (next.js: 11ms, application-code: 426ms)
 GET / 200 in 785ms (next.js: 230ms, application-code: 555ms)
 GET / 200 in 301ms (next.js: 35ms, application-code: 266ms)
 GET / 200 in 230ms (next.js: 140ms, application-code: 90ms)
 GET / 200 in 90ms (next.js: 8ms, application-code: 82ms)
 GET / 200 in 67ms (next.js: 9ms, application-code: 59ms)
✓ Compiled in 130ms
 GET / 200 in 73ms (next.js: 10ms, application-code: 63ms)
 GET / 200 in 68ms (next.js: 7ms, application-code: 61ms)
 GET / 200 in 101ms (next.js: 46ms, application-code: 55ms)
 GET / 200 in 59ms (next.js: 6ms, application-code: 53ms)
 GET / 200 in 64ms (next.js: 7ms, application-code: 57ms)
 GET / 200 in 110ms (next.js: 7ms, application-code: 103ms)
 GET / 200 in 64ms (next.js: 7ms, application-code: 57ms)
 GET /online 200 in 66ms (next.js: 5ms, application-code: 61ms)
 GET / 200 in 53ms (next.js: 7ms, application-code: 46ms)
 GET / 200 in 77ms (next.js: 6ms, application-code: 71ms)
 GET / 200 in 69ms (next.js: 9ms, application-code: 60ms)
 GET / 200 in 53ms (next.js: 32ms, application-code: 22ms)
✓ Compiled in 95ms
 GET /online 200 in 39ms (next.js: 6ms, application-code: 33ms)
 GET / 200 in 62ms (next.js: 8ms, application-code: 54ms)
 GET / 200 in 78ms (next.js: 7ms, application-code: 71ms)
 GET / 200 in 53ms (next.js: 6ms, application-code: 47ms)
 GET / 200 in 80ms (next.js: 7ms, application-code: 73ms)
 GET / 200 in 50ms (next.js: 6ms, application-code: 45ms)
 GET / 200 in 52ms (next.js: 7ms, application-code: 45ms)
 GET / 200 in 76ms (next.js: 10ms, application-code: 66ms)
 GET / 200 in 64ms (next.js: 8ms, application-code: 56ms)
 GET / 200 in 90ms (next.js: 30ms, application-code: 60ms)
 GET / 200 in 37ms (next.js: 9ms, application-code: 28ms)
 GET / 200 in 73ms (next.js: 7ms, application-code: 66ms)
 GET / 200 in 69ms (next.js: 7ms, application-code: 62ms)
 GET / 200 in 60ms (next.js: 7ms, application-code: 53ms)
 GET / 200 in 69ms (next.js: 7ms, application-code: 62ms)
 GET / 200 in 67ms (next.js: 6ms, application-code: 61ms)
 GET / 200 in 67ms (next.js: 7ms, application-code: 60ms)
 GET / 200 in 78ms (next.js: 10ms, application-code: 67ms)
 GET /online 200 in 55ms (next.js: 6ms, application-code: 49ms)
 GET / 200 in 66ms (next.js: 8ms, application-code: 58ms)
 GET /online 200 in 37ms (next.js: 6ms, application-code: 31ms)
 GET / 200 in 85ms (next.js: 9ms, application-code: 76ms)
✓ Compiled in 96ms
 GET / 200 in 157ms (next.js: 115ms, application-code: 42ms)
 GET / 200 in 66ms (next.js: 7ms, application-code: 59ms)
 GET / 200 in 62ms (next.js: 7ms, application-code: 55ms)
 GET / 200 in 58ms (next.js: 6ms, application-code: 52ms)
 GET / 200 in 64ms (next.js: 7ms, application-code: 57ms)
 GET / 200 in 94ms (next.js: 42ms, application-code: 52ms)
 GET / 200 in 71ms (next.js: 9ms, application-code: 61ms)
 GET / 200 in 73ms (next.js: 7ms, application-code: 66ms)
 GET /online 200 in 56ms (next.js: 9ms, application-code: 47ms)
 GET / 200 in 65ms (next.js: 7ms, application-code: 58ms)
 GET / 200 in 78ms (next.js: 11ms, application-code: 67ms)
 GET / 200 in 67ms (next.js: 8ms, application-code: 59ms)
 GET / 200 in 70ms (next.js: 7ms, application-code: 63ms)
 GET / 200 in 59ms (next.js: 7ms, application-code: 52ms)
 GET / 200 in 62ms (next.js: 8ms, application-code: 54ms)
✓ Compiled in 113ms
 GET / 200 in 80ms (next.js: 34ms, application-code: 45ms)
 GET / 200 in 186ms (next.js: 122ms, application-code: 64ms)
✓ Compiled in 108ms
 GET / 200 in 45ms (next.js: 8ms, application-code: 36ms)
 GET / 200 in 33ms (next.js: 9ms, application-code: 24ms)
✓ Compiled in 100ms
 GET / 200 in 82ms (next.js: 13ms, application-code: 69ms)
 GET / 200 in 49ms (next.js: 11ms, application-code: 38ms)
✓ Compiled in 116ms
 GET / 200 in 76ms (next.js: 43ms, application-code: 33ms)
 GET / 200 in 77ms (next.js: 21ms, application-code: 55ms)
 GET / 200 in 79ms (next.js: 6ms, application-code: 72ms)
 GET / 200 in 242ms (next.js: 43ms, application-code: 199ms)
 GET /online 200 in 52ms (next.js: 6ms, application-code: 45ms)
 GET / 200 in 62ms (next.js: 6ms, application-code: 56ms)
 GET /online 200 in 41ms (next.js: 9ms, application-code: 32ms)
 GET / 200 in 61ms (next.js: 7ms, application-code: 54ms)
 GET / 200 in 91ms (next.js: 7ms, application-code: 83ms)
 GET / 200 in 33ms (next.js: 13ms, application-code: 20ms)
 GET / 200 in 31ms (next.js: 13ms, application-code: 19ms)
✓ Compiled in 68ms
 GET / 200 in 51ms (next.js: 5ms, application-code: 46ms)
 GET / 200 in 47ms (next.js: 5ms, application-code: 42ms)
 GET / 200 in 87ms (next.js: 12ms, application-code: 75ms)
 GET / 200 in 49ms (next.js: 26ms, application-code: 23ms)
 GET / 200 in 22ms (next.js: 6ms, application-code: 17ms)
 GET / 200 in 24ms (next.js: 6ms, application-code: 19ms)
 GET / 200 in 58ms (next.js: 7ms, application-code: 52ms)
✓ Compiled in 135ms
✓ Compiled in 182ms
 GET / 200 in 250ms (next.js: 151ms, application-code: 98ms)
 GET / 200 in 94ms (next.js: 10ms, application-code: 84ms)
 GET / 200 in 113ms (next.js: 9ms, application-code: 104ms)
 GET / 200 in 87ms (next.js: 9ms, application-code: 79ms)
 GET / 200 in 60ms (next.js: 7ms, application-code: 53ms)
 GET / 200 in 35ms (next.js: 8ms, application-code: 26ms)
 GET / 200 in 74ms (next.js: 6ms, application-code: 67ms)
 GET / 200 in 78ms (next.js: 9ms, application-code: 69ms)
 GET / 200 in 88ms (next.js: 10ms, application-code: 77ms)
 GET / 200 in 56ms (next.js: 7ms, application-code: 49ms)
 GET / 200 in 54ms (next.js: 8ms, application-code: 46ms)
 GET / 200 in 58ms (next.js: 22ms, application-code: 36ms)
 GET / 200 in 63ms (next.js: 7ms, application-code: 55ms)
 GET / 200 in 33ms (next.js: 7ms, application-code: 26ms)
 GET / 200 in 62ms (next.js: 6ms, application-code: 56ms)
 GET /online 200 in 80ms (next.js: 31ms, application-code: 49ms)
 GET / 200 in 52ms (next.js: 5ms, application-code: 47ms)
 GET / 200 in 88ms (next.js: 6ms, application-code: 83ms)
 GET / 200 in 58ms (next.js: 6ms, application-code: 53ms)
 GET /online 200 in 49ms (next.js: 5ms, application-code: 44ms)
 GET / 200 in 51ms (next.js: 6ms, application-code: 44ms)
 GET /online 200 in 28ms (next.js: 5ms, application-code: 23ms)
✓ Compiled in 135ms
 GET / 200 in 75ms (next.js: 34ms, application-code: 41ms)
 GET / 200 in 103ms (next.js: 39ms, application-code: 64ms)
 GET / 200 in 45ms (next.js: 9ms, application-code: 36ms)
 GET /fotohavn 404 in 224ms (next.js: 140ms, application-code: 85ms)
 GET /fotohavn 404 in 46ms (next.js: 12ms, application-code: 35ms)
 GET /fotohavn 404 in 43ms (next.js: 10ms, application-code: 33ms)
 GET /fotohavn/online 404 in 56ms (next.js: 10ms, application-code: 46ms)
 GET / 200 in 87ms (next.js: 7ms, application-code: 79ms)
 GET /online 200 in 67ms (next.js: 37ms, application-code: 30ms)
